Units,scenario,region,subsector,technology,output,year,value
EJ,Reference,Pakistan,wind,wind_offshore,electricity,2080,0.0120753
EJ,Reference,Pakistan,wind,wind_offshore,electricity,2085,0.012796250000000002
EJ,Reference,Pakistan,wind,wind_offshore,electricity,2090,0.01350992
EJ,Reference,Pakistan,wind,wind_offshore,electricity,2095,0.01387372
EJ,Reference,Pakistan,wind,wind_offshore,electricity,2100,0.013831689999999999
EJ,Reference,Pakistan,wind,wind_storage,electricity,2025,1.19055e-5
EJ,Reference,Pakistan,wind,wind_storage,electricity,2030,1.542835e-4
EJ,Reference,Pakistan,wind,wind_storage,electricity,2035,5.461405e-4
EJ,Reference,Pakistan,wind,wind_storage,electricity,2040,0.0017453905
EJ,Reference,Pakistan,wind,wind_storage,electricity,2045,0.0041702005
EJ,Reference,Pakistan,wind,wind_storage,electricity,2050,0.0072502005
EJ,Reference,Pakistan,wind,wind_storage,electricity,2055,0.010013204999999999
EJ,Reference,Pakistan,wind,wind_storage,electricity,2060,0.015587727
EJ,Reference,Pakistan,wind,wind_storage,electricity,2065,0.02263807
EJ,Reference,Pakistan,wind,wind_storage,electricity,2070,0.030343009999999997
EJ,Reference,Pakistan,wind,wind_storage,electricity,2075,0.038227399999999995
EJ,Reference,Pakistan,wind,wind_storage,electricity,2080,0.045600299999999996
EJ,Reference,Pakistan,wind,wind_storage,electricity,2085,0.05295929
EJ,Reference,Pakistan,wind,wind_storage,electricity,2090,0.05868309
EJ,Reference,Pakistan,wind,wind_storage,electricity,2095,0.06239169
EJ,Reference,Pakistan,wind,wind_storage,electricity,2100,0.0642041
